100 5.7476e-05
200 0.000152906
300 0.000308288
400 0.000429143
500 0.000689195
600 0.00109341
700 0.0013208
800 0.00167997
900 0.00213889
1000 0.00335372
1100 0.0035953
1200 0.00380932
1300 0.00450554
1400 0.00554522
1500 0.00644087
1600 0.00679832
1700 0.00783662
1800 0.00865687
1900 0.00954626
2000 0.0109163
2100 0.0117243
2200 0.0138106
2300 0.0140976
2400 0.0152437
2500 0.0163941
2600 0.0181853
2700 0.0192767
2800 0.0211123
2900 0.0224047
3000 0.0240016
3100 0.025381
3200 0.0273216
3300 0.0288811
3400 0.0305773
3500 0.0325984
3600 0.0343586
3700 0.036272
3800 0.0383534
3900 0.0401716
4000 0.042452
4100 0.0452481
4200 0.0475165
4300 0.0488904
4400 0.0512398
4500 0.0536324
4600 0.0561502
4700 0.0583069
4800 0.0612368
4900 0.0632014
5000 0.0743736
5100 0.0743185
5200 0.0716658
5300 0.0740093
5400 0.0771657
5500 0.0800738
5600 0.0830078
5700 0.0866321
5800 0.0887952
5900 0.0923962
6000 0.0950132
6100 0.0983151
6200 0.101562
6300 0.104972
6400 0.10851
6500 0.113485
6600 0.115321
6700 0.120678
6800 0.122189
6900 0.125236
7000 0.129203
7100 0.132529
7200 0.13586
7300 0.140027
7400 0.144451
7500 0.148229
7600 0.151383
7700 0.155799
7800 0.163861
7900 0.16459
8000 0.169536
8100 0.175511
8200 0.177432
8300 0.184109
8400 0.187194
8500 0.191224
8600 0.199195
8700 0.203453
8800 0.211513
8900 0.222699
