100 6.1224e-05
1100 0.00725373
2100 0.0258914
3100 0.0567718
4100 0.100762
5100 0.157322
6100 0.228337
7100 0.311623
8100 0.411872
9100 0.522195
10100 0.639512
11100 0.779124
12100 0.927061
13100 1.08882
14100 1.26575
15100 1.45411
16100 1.65223
17100 1.86833
18100 2.08937
19100 2.33315
20100 2.61683
21100 2.87659
22100 3.23489
23100 3.58289
24100 3.80425
25100 4.11845
26100 4.45706
27100 4.93628
28100 5.08651
29100 5.48672
30100 6.02139
31100 6.34183
32100 6.76622
33100 7.27312
34100 7.80331
35100 8.20737
36100 8.63948
37100 9.03238
38100 9.66706
39100 10.3403
