100 7.9548e-05
200 0.000205783
300 0.000483595
400 0.000852844
500 0.00142227
600 0.00188635
700 0.00283693
800 0.0034661
900 0.00456298
1000 0.00549367
1100 0.00692862
1200 0.00795607
1300 0.00949052
1400 0.0112731
1500 0.0127529
1600 0.0151152
1700 0.0170569
1800 0.0186429
1900 0.0211816
2000 0.0241077
2100 0.0263828
2200 0.0282471
2300 0.0308118
2400 0.0336402
2500 0.0383523
2600 0.0404739
2700 0.0447772
2800 0.0464214
2900 0.050543
3000 0.0550188
3100 0.0597525
3200 0.0629432
3300 0.0662529
3400 0.0684121
3500 0.0757956
3600 0.0787021
3700 0.0811136
3800 0.0873242
3900 0.0929972
4000 0.0970092
4100 0.100779
4200 0.108779
4300 0.114124
4400 0.117017
4500 0.123981
4600 0.130591
4700 0.13404
4800 0.180177
4900 0.174531
5000 0.155589
5100 0.158994
5200 0.16599
5300 0.173201
5400 0.178482
5500 0.209036
5600 0.198119
5700 0.193219
5800 0.20638
5900 0.215404
6000 0.223861
6100 0.232838
6200 0.239382
6300 0.250056
6400 0.25448
6500 0.2596
6600 0.269403
6700 0.274622
6800 0.282021
6900 0.293144
7000 0.30224
7100 0.313334
7200 0.318994
7300 0.332473
7400 0.34189
7500 0.354563
7600 0.358991
7700 0.367809
7800 0.382993
7900 0.393614
8000 0.428628
8100 0.415728
8200 0.503403
8300 0.432569
8400 0.44207
8500 0.45758
8600 0.46646
8700 0.525572
8800 0.561221
8900 0.570242
